,subject,OE,TH,OE_TH,TW,PR,OR,TOT,CRD,GRD,PTS1,PTS2
0,214441,030/050,024/050,054/100,--,--,--,54,04,B,06,24
1,214442,036/050,031/050,067/100,--,--,--,67,04,A,08,32
2,214443,026/050,033/050,059/100,--,--,--,59,04,B+,07,28
3,214444,029/050,036/050,065/100,--,--,--,65,04,A,08,32
4,214445,040/050,032/050,072/100,--,--,--,72,04,A+,09,36
5,214446,--,--,--,022/025,028/050,--,66,01,A,08,08
6,214447,--,--,--,023/025,038/050,--,81,02,O,10,20
7,214448,--,--,--,023/025,038/050,--,81,01,O,10,10
8,214449,--,--,--,020/025,--,--,80,01,O,10,10
9,202054A,--,--,--,PP,--,--,PP,00,P,00,00
10,214442,028/050,020/050,048/100,--,--,--,48,04,C,05,20
11,214443,021/050,021/050,042/100,--,--,--,42,04,P,04,16
12,214444,019/050,025/050,044/100,--,--,--,44,04,P,04,16
13,214445,035/050,024/050,059/100,--,--,--,59,04,B+,07,28
14,214446,--,--,--,022/025,021/050,--,57,01,B+,07,07
15,214447,--,--,--,022/025,020/050,--,56,02,B+,07,14
16,214449,--,--,--,019/025,--,--,76,01,A+,09,09
17,202054A,--,--,--,PP,--,--,PP,00,P,00,00
18,214442,034/050,023/050,057/100,--,--,--,57,04,B+,07,28
19,214443,032/050,020/050,052/100,--,--,--,52,04,B,06,24
20,214444,021/050,028/050,049/100,--,--,--,49,04,C,05,20
21,214445,034/050,025/050,059/100,--,--,--,59,04,B+,07,28
22,214446,--,--,--,022/025,026/050,--,64,01,A,08,08
23,214447,--,--,--,021/025,034/050,--,73,02,A+,09,18
24,214448,--,--,--,021/025,040/050,--,81,01,O,10,10
25,214449,--,--,--,020/025,--,--,80,01,O,10,10
26,202054A,--,--,--,PP,--,--,PP,00,P,00,00
27,214441,022/050,035/050,057/100,--,--,--,57,04,B+,07,28
28,214442,022/050,021/050,043/100,--,--,--,43,04,P,04,16
29,214443,027/050,020/050,047/100,--,--,--,47,04,C,05,20
30,214444,035/050,027/050,062/100,--,--,--,62,04,A,08,32
31,214445,036/050,040/050,076/100,--,--,--,76,04,A+,09,36
32,214446,--,--,--,022/025,030/050,--,69,01,A,08,08
33,214447,--,--,--,022/025,038/050,--,80,02,O,10,20
34,214448,--,--,--,023/025,044/050,--,89,01,O,10,10
35,214449,--,--,--,021/025,--,--,84,01,O,10,10
36,202054A,--,--,--,PP,--,--,PP,00,P,00,00
37,214442,017/050,029/050,046/100,--,--,--,46,04,C,05,20
38,214443,032/050,021/050,053/100,--,--,--,53,04,B,06,24
39,214444,030/050,020/050,050/100,--,--,--,50,04,B,06,24
40,214445,033/050,025/050,058/100,--,--,--,58,04,B+,07,28
41,214446,--,--,--,022/025,030/050,--,69,01,A,08,08
42,214447,--,--,--,023/025,044/050,--,89,02,O,10,20
43,214448,--,--,--,023/025,044/050,--,89,01,O,10,10
44,214449,--,--,--,021/025,--,--,84,01,O,10,10
45,202054A,--,--,--,PP,--,--,PP,00,P,00,00
46,214441,020/050,028/050,048/100,--,--,--,48,04,C,05,20
47,214442,032/050,029/050,061/100,--,--,--,61,04,A,08,32
48,214443,022/050,029/050,051/100,--,--,--,51,04,B,06,24
49,214444,024/050,029/050,053/100,--,--,--,53,04,B,06,24
50,214445,026/050,023/050,049/100,--,--,--,49,04,C,05,20
51,214446,--,--,--,023/025,031/050,--,72,01,A+,09,09
52,214447,--,--,--,022/025,020/050,--,56,02,B+,07,14
53,214448,--,--,--,022/025,040/050,--,82,01,O,10,10
54,214449,--,--,--,021/025,--,--,84,01,O,10,10
55,202054A,--,--,--,PP,--,--,PP,00,P,00,00
56,214444,020/050,020/050,040/100,--,--,--,40,04,P,04,16
57,214448,--,--,--,018/025,033/050,--,68,01,A,08,08
58,214449,--,--,--,019/025,--,--,76,01,A+,09,09
59,202054A,--,--,--,PP,--,--,PP,00,P,00,00
60,214442,023/050,027/050,050/100,--,--,--,50,04,B,06,24
61,214443,032/050,020/050,052/100,--,--,--,52,04,B,06,24
62,214444,025/050,025/050,050/100,--,--,--,50,04,B,06,24
63,214445,030/050,023/050,053/100,--,--,--,53,04,B,06,24
64,214446,--,--,--,022/025,031/050,--,70,01,A+,09,09
65,214447,--,--,--,022/025,031/050,--,70,02,A+,09,18
66,214448,--,--,--,022/025,034/050,--,74,01,A+,09,09
67,214449,--,--,--,019/025,--,--,76,01,A+,09,09
68,202054A,--,--,--,PP,--,--,PP,00,P,00,00
69,214441,018/050,023/050,041/100,--,--,--,41,04,P,04,16
70,214442,016/050,028/050,044/100,--,--,--,44,04,P,04,16
71,214443,030/050,021/050,051/100,--,--,--,51,04,B,06,24
72,214444,022/050,029/050,051/100,--,--,--,51,04,B,06,24
73,214445,034/050,031/050,065/100,--,--,--,65,04,A,08,32
74,214446,--,--,--,022/025,022/050,--,58,01,B+,07,07
75,214447,--,--,--,022/025,041/050,--,84,02,O,10,20
76,214448,--,--,--,021/025,036/050,--,76,01,A+,09,09
77,214449,--,--,--,020/025,--,--,80,01,O,10,10
78,202054A,--,--,--,PP,--,--,PP,00,P,00,00
79,214442,028/050,026/050,054/100,--,--,--,54,04,B,06,24
80,214443,030/050,030/050,060/100,--,--,--,60,04,A,08,32
81,214444,016/050,037/050,053/100,--,--,--,53,04,B,06,24
82,214445,036/050,034/050,070/100,--,--,--,70,04,A+,09,36
83,214446,--,--,--,022/025,026/050,--,64,01,A,08,08
84,214447,--,--,--,020/025,032/050,--,69,02,A,08,16
85,214448,--,--,--,021/025,040/050,--,81,01,O,10,10
86,214449,--,--,--,020/025,--,--,80,01,O,10,10
87,202054A,--,--,--,PP,--,--,PP,00,P,00,00
88,214442,023/050,022/050,045/100,--,--,--,45,04,C,05,20
89,214444,020/050,029/050,049/100,--,--,--,49,04,C,05,20
90,214445,025/050,023/050,048/100,--,--,--,48,04,C,05,20
91,214446,--,--,--,017/025,023/050,--,53,01,B,06,06
92,214447,--,--,--,017/025,027/050,--,58,02,B+,07,14
93,214448,--,--,--,017/025,032/050,--,65,01,A,08,08
94,214449,--,--,--,016/025,--,--,64,01,A,08,08
95,202054A,--,--,--,PP,--,--,PP,00,P,00,00
96,214446,--,--,--,022/025,026/050,--,64,01,A,08,08
97,214447,--,--,--,021/025,033/050,--,72,02,A+,09,18
98,214448,--,--,--,021/025,036/050,--,76,01,A+,09,09
99,214449,--,--,--,020/025,--,--,80,01,O,10,10
100,202054A,--,--,--,PP,--,--,PP,00,P,00,00
101,214441,019/050,024/050,043/100,--,--,--,43,04,P,04,16
102,214443,021/050,020/050,041/100,--,--,--,41,04,P,04,16
103,214444,020/050,027/050,047/100,--,--,--,47,04,C,05,20
104,214446,--,--,--,017/025,024/050,--,54,01,B,06,06
105,214447,--,--,--,017/025,024/050,--,54,02,B,06,12
106,214449,--,--,--,016/025,--,--,64,01,A,08,08
107,202054A,--,--,--,PP,--,--,PP,00,P,00,00
108,214444,016/050,025/050,041/100,--,--,--,41,04,P,04,16
109,214446,--,--,--,022/025,021/050,--,57,01,B+,07,07
110,214447,--,--,--,021/025,026/050,--,62,02,A,08,16
