,OE,OE,OE,TH,TH,TH,OE_TH,OE_TH,OE_TH,TW,TW,TW,PR,PR,PR,OR,OR,OR,TOT,TOT,TOT,CRD,CRD,CRD,GRD,GRD,GRD,PTS1,PTS1,PTS1,PTS2,PTS2,PTS2,OE,OE,OE,TH,TH,TH,OE_TH,OE_TH,OE_TH,TW,TW,TW,PR,PR,PR,OR,OR,OR,TOT,TOT,TOT,CRD,CRD,CRD,GRD,GRD,GRD,PTS1,PTS1,PTS1,PTS2,PTS2,PTS2,OE,OE,OE,TH,TH,TH,OE_TH,OE_TH,OE_TH,TW,TW,TW,PR,PR,PR,OR,OR,OR,TOT,TOT,TOT,CRD,CRD,CRD,GRD,GRD,GRD,PTS1,PTS1,PTS1,PTS2,PTS2,PTS2
0,030/050,036/050,026/050,024/050,031/050,033/050,054/100,067/100,059/100,--,--,--,--,--,--,--,--,--,54,67,59,4,4,4,B,A,B+,6,8,7,24,32,28,030/050,036/050,026/050,024/050,031/050,033/050,054/100,067/100,059/100,--,--,--,--,--,--,--,--,--,54,67,59,4,4,4,B,A,B+,6,8,7,24,32,28,030/050,036/050,026/050,024/050,031/050,033/050,054/100,067/100,059/100,--,--,--,--,--,--,--,--,--,54,67,59,4,4,4,B,A,B+,6,8,7,24,32,28
1,013/050,028/050,021/050,011/050,020/050,021/050,024/100,048/100,042/100,--,--,--,--,--,--,--,--,--,FF,48,42,4,4,4,F,C,P,0,5,4,0,20,16,013/050,028/050,021/050,011/050,020/050,021/050,024/100,048/100,042/100,--,--,--,--,--,--,--,--,--,FF,48,42,4,4,4,F,C,P,0,5,4,0,20,16,013/050,028/050,021/050,011/050,020/050,021/050,024/100,048/100,042/100,--,--,--,--,--,--,--,--,--,FF,48,42,4,4,4,F,C,P,0,5,4,0,20,16
2,021/050,034/050,032/050,026/050,023/050,020/050,047/100,057/100,052/100,--,--,--,--,--,--,--,--,--,47,57,52,4,4,4,C,B+,B,5,7,6,20,28,24,021/050,034/050,032/050,026/050,023/050,020/050,047/100,057/100,052/100,--,--,--,--,--,--,--,--,--,47,57,52,4,4,4,C,B+,B,5,7,6,20,28,24,021/050,034/050,032/050,026/050,023/050,020/050,047/100,057/100,052/100,--,--,--,--,--,--,--,--,--,47,57,52,4,4,4,C,B+,B,5,7,6,20,28,24
3,022/050,022/050,027/050,035/050,021/050,020/050,057/100,043/100,047/100,--,--,--,--,--,--,--,--,--,57,43,47,4,4,4,B+,P,C,7,4,5,28,16,20,022/050,022/050,027/050,035/050,021/050,020/050,057/100,043/100,047/100,--,--,--,--,--,--,--,--,--,57,43,47,4,4,4,B+,P,C,7,4,5,28,16,20,022/050,022/050,027/050,035/050,021/050,020/050,057/100,043/100,047/100,--,--,--,--,--,--,--,--,--,57,43,47,4,4,4,B+,P,C,7,4,5,28,16,20
4,016/050,017/050,032/050,24$/050,029/050,021/050,040/100,046/100,053/100,--,--,--,--,--,--,--,--,--,40,46,53,4,4,4,P,C,B,4,5,6,16,20,24,016/050,017/050,032/050,24$/050,029/050,021/050,040/100,046/100,053/100,--,--,--,--,--,--,--,--,--,40,46,53,4,4,4,P,C,B,4,5,6,16,20,24,016/050,017/050,032/050,24$/050,029/050,021/050,040/100,046/100,053/100,--,--,--,--,--,--,--,--,--,40,46,53,4,4,4,P,C,B,4,5,6,16,20,24
5,020/050,032/050,022/050,028/050,029/050,029/050,048/100,061/100,051/100,--,--,--,--,--,--,--,--,--,48,61,51,4,4,4,C,A,B,5,8,6,20,32,24,020/050,032/050,022/050,028/050,029/050,029/050,048/100,061/100,051/100,--,--,--,--,--,--,--,--,--,48,61,51,4,4,4,C,A,B,5,8,6,20,32,24,020/050,032/050,022/050,028/050,029/050,029/050,048/100,061/100,051/100,--,--,--,--,--,--,--,--,--,48,61,51,4,4,4,C,A,B,5,8,6,20,32,24
6,022/050,025/050,018/050,010/050,014/050,010/050,032/100,039/100,028/100,--,--,--,--,--,--,--,--,--,FF,FF,FF,4,4,4,F,F,F,0,0,0,0,0,0,022/050,025/050,018/050,010/050,014/050,010/050,032/100,039/100,028/100,--,--,--,--,--,--,--,--,--,FF,FF,FF,4,4,4,F,F,F,0,0,0,0,0,0,022/050,025/050,018/050,010/050,014/050,010/050,032/100,039/100,028/100,--,--,--,--,--,--,--,--,--,FF,FF,FF,4,4,4,F,F,F,0,0,0,0,0,0
7,010/050,023/050,032/050,012/050,027/050,020/050,022/100,050/100,052/100,--,--,--,--,--,--,--,--,--,FF,50,52,4,4,4,F,B,B,0,6,6,0,24,24,010/050,023/050,032/050,012/050,027/050,020/050,022/100,050/100,052/100,--,--,--,--,--,--,--,--,--,FF,50,52,4,4,4,F,B,B,0,6,6,0,24,24,010/050,023/050,032/050,012/050,027/050,020/050,022/100,050/100,052/100,--,--,--,--,--,--,--,--,--,FF,50,52,4,4,4,F,B,B,0,6,6,0,24,24
8,018/050,016/050,030/050,023/050,028/050,021/050,041/100,044/100,051/100,--,--,--,--,--,--,--,--,--,41,44,51,4,4,4,P,P,B,4,4,6,16,16,24,018/050,016/050,030/050,023/050,028/050,021/050,041/100,044/100,051/100,--,--,--,--,--,--,--,--,--,41,44,51,4,4,4,P,P,B,4,4,6,16,16,24,018/050,016/050,030/050,023/050,028/050,021/050,041/100,044/100,051/100,--,--,--,--,--,--,--,--,--,41,44,51,4,4,4,P,P,B,4,4,6,16,16,24
9,015/050,028/050,030/050,25$/050,026/050,030/050,040/100,054/100,060/100,--,--,--,--,--,--,--,--,--,40,54,60,4,4,4,P,B,A,4,6,8,16,24,32,015/050,028/050,030/050,25$/050,026/050,030/050,040/100,054/100,060/100,--,--,--,--,--,--,--,--,--,40,54,60,4,4,4,P,B,A,4,6,8,16,24,32,015/050,028/050,030/050,25$/050,026/050,030/050,040/100,054/100,060/100,--,--,--,--,--,--,--,--,--,40,54,60,4,4,4,P,B,A,4,6,8,16,24,32
