,subject,OE,TH,OE_TH,TW,PR,OR,TOT,CRD,GRD,PTS1,PTS2
0,214441,030/050,024/050,054/100,--,--,--,54,04,B,06,24
1,214442,036/050,031/050,067/100,--,--,--,67,04,A,08,32
2,214443,026/050,033/050,059/100,--,--,--,59,04,B+,07,28
3,214444,029/050,036/050,065/100,--,--,--,65,04,A,08,32
4,214445,040/050,032/050,072/100,--,--,--,72,04,A+,09,36
5,214446,--,--,--,022/025,028/050,--,66,01,A,08,08
6,214447,--,--,--,023/025,038/050,--,81,02,O,10,20
7,214448,--,--,--,023/025,038/050,--,81,01,O,10,10
8,214449,--,--,--,020/025,--,--,80,01,O,10,10
9,202054A,--,--,--,PP,--,--,PP,00,P,00,00
10,207003,035/050,027/050,062/100,--,--,--,62,04,A,08,32
11,207003,--,--,--,023/025,--,--,92,01,O,10,10
12,214450,034/050,028/050,062/100,--,--,--,62,03,A,08,24
13,214451,034/050,025/050,059/100,--,--,--,59,04,B+,07,28
14,214452,025/050,031/050,056/100,--,--,--,56,04,B+,07,28
15,214453,040/050,031/050,071/100,--,--,--,71,04,A+,09,36
16,214454,--,--,--,023/025,035/050,--,77,02,A+,09,18
17,214455,--,--,--,023/025,035/050,--,77,02,A+,09,18
18,214456,--,--,--,023/025,042/050,--,86,01,O,10,10
19,210258A,--,--,--,PP,--,--,PP,00,P,00,00
20,214441,013/050,011/050,024/100,--,--,--,FF,04,F,00,00
21,214442,028/050,020/050,048/100,--,--,--,48,04,C,05,20
22,214443,021/050,021/050,042/100,--,--,--,42,04,P,04,16
23,214444,019/050,025/050,044/100,--,--,--,44,04,P,04,16
24,214445,035/050,024/050,059/100,--,--,--,59,04,B+,07,28
25,214446,--,--,--,022/025,021/050,--,57,01,B+,07,07
26,214447,--,--,--,022/025,020/050,--,56,02,B+,07,14
27,214448,--,--,--,022/025,021/050,--,57,01,B+,07,07
28,214449,--,--,--,019/025,--,--,76,01,A+,09,09
29,202054A,--,--,--,PP,--,--,PP,00,P,00,00
30,207003,020/050,009/050,029/100,--,--,--,FF,04,F,00,00
31,207003,--,--,--,019/025,--,--,76,01,A+,09,09
32,214450,014/050,26$/050,040/100,--,--,--,40,03,P,04,12
33,214451,018/050,014/050,032/100,--,--,--,FF,04,F,00,00
34,214452,020/050,030/050,050/100,--,--,--,50,04,B,06,24
35,214453,025/050,024/050,049/100,--,--,--,49,04,C,05,20
36,214454,--,--,--,021/025,032/050,--,70,02,A+,09,18
37,214455,--,--,--,022/025,023/050,--,60,02,A,08,16
38,214456,--,--,--,021/025,026/050,--,62,01,A,08,08
39,210258D,--,--,--,PP,--,--,PP,00,P,00,00
40,214441,021/050,026/050,047/100,--,--,--,47,04,C,05,20
41,214442,034/050,023/050,057/100,--,--,--,57,04,B+,07,28
42,214443,032/050,020/050,052/100,--,--,--,52,04,B,06,24
43,214444,021/050,028/050,049/100,--,--,--,49,04,C,05,20
44,214445,034/050,025/050,059/100,--,--,--,59,04,B+,07,28
45,214446,--,--,--,022/025,026/050,--,64,01,A,08,08
46,214447,--,--,--,021/025,034/050,--,73,02,A+,09,18
47,214448,--,--,--,021/025,040/050,--,81,01,O,10,10
48,214449,--,--,--,020/025,--,--,80,01,O,10,10
49,202054A,--,--,--,PP,--,--,PP,00,P,00,00
50,207003,033/050,011/050,044/100,--,--,--,FF,04,F,00,00
51,207003,--,--,--,022/025,--,--,88,01,O,10,10
52,214450,031/050,032/050,063/100,--,--,--,63,03,A,08,24
53,214451,031/050,025/050,056/100,--,--,--,56,04,B+,07,28
54,214452,034/050,029/050,063/100,--,--,--,63,04,A,08,32
55,214453,042/050,033/050,075/100,--,--,--,75,04,A+,09,36
56,214454,--,--,--,023/025,037/050,--,80,02,O,10,20
57,214455,--,--,--,023/025,036/050,--,78,02,A+,09,18
58,214456,--,--,--,023/025,045/050,--,90,01,O,10,10
59,210258C,--,--,--,PP,--,--,PP,00,P,00,00
60,214441,022/050,035/050,057/100,--,--,--,57,04,B+,07,28
61,214442,022/050,021/050,043/100,--,--,--,43,04,P,04,16
62,214443,027/050,020/050,047/100,--,--,--,47,04,C,05,20
63,214444,035/050,027/050,062/100,--,--,--,62,04,A,08,32
64,214445,036/050,040/050,076/100,--,--,--,76,04,A+,09,36
65,214446,--,--,--,022/025,030/050,--,69,01,A,08,08
66,214447,--,--,--,022/025,038/050,--,80,02,O,10,20
67,214448,--,--,--,023/025,044/050,--,89,01,O,10,10
68,214449,--,--,--,021/025,--,--,84,01,O,10,10
69,202054A,--,--,--,PP,--,--,PP,00,P,00,00
70,207003,026/050,005/050,031/100,--,--,--,FF,04,F,00,00
71,207003,--,--,--,019/025,--,--,76,01,A+,09,09
72,214450,032/050,022/050,054/100,--,--,--,54,03,B,06,18
73,214451,025/050,020/050,045/100,--,--,--,45,04,C,05,20
74,214452,028/050,039/050,067/100,--,--,--,67,04,A,08,32
75,214453,022/050,009/050,031/100,--,--,--,FF,04,F,00,00
76,214454,--,--,--,022/025,045/050,--,89,02,O,10,20
77,214455,--,--,--,023/025,039/050,--,82,02,O,10,20
78,214456,--,--,--,023/025,041/050,--,85,01,O,10,10
79,210258A,--,--,--,PP,--,--,PP,00,P,00,00
80,214441,016/050,24$/050,040/100,--,--,--,40,04,P,04,16
81,214442,017/050,029/050,046/100,--,--,--,46,04,C,05,20
82,214443,032/050,021/050,053/100,--,--,--,53,04,B,06,24
83,214444,030/050,020/050,050/100,--,--,--,50,04,B,06,24
84,214445,033/050,025/050,058/100,--,--,--,58,04,B+,07,28
85,214446,--,--,--,022/025,030/050,--,69,01,A,08,08
86,214447,--,--,--,023/025,044/050,--,89,02,O,10,20
87,214448,--,--,--,023/025,044/050,--,89,01,O,10,10
88,214449,--,--,--,021/025,--,--,84,01,O,10,10
89,202054A,--,--,--,PP,--,--,PP,00,P,00,00
90,207003,013/050,005/050,018/100,--,--,--,FF,04,F,00,00
91,207003,--,--,--,020/025,--,--,80,01,O,10,10
92,214450,022/050,022/050,044/100,--,--,--,44,03,P,04,12
93,214451,023/050,013/050,036/100,--,--,--,FF,04,F,00,00
94,214452,023/050,026/050,049/100,--,--,--,49,04,C,05,20
95,214453,037/050,021/050,058/100,--,--,--,58,04,B+,07,28
96,214454,--,--,--,023/025,037/050,--,80,02,O,10,20
97,214455,--,--,--,023/025,037/050,--,80,02,O,10,20
98,214456,--,--,--,023/025,041/050,--,85,01,O,10,10
99,210258A,--,--,--,PP,--,--,PP,00,P,00,00
100,214441,020/050,028/050,048/100,--,--,--,48,04,C,05,20
101,214442,032/050,029/050,061/100,--,--,--,61,04,A,08,32
102,214443,022/050,029/050,051/100,--,--,--,51,04,B,06,24
103,214444,024/050,029/050,053/100,--,--,--,53,04,B,06,24
104,214445,026/050,023/050,049/100,--,--,--,49,04,C,05,20
105,214446,--,--,--,023/025,031/050,--,72,01,A+,09,09
106,214447,--,--,--,022/025,020/050,--,56,02,B+,07,14
107,214448,--,--,--,022/025,040/050,--,82,01,O,10,10
108,214449,--,--,--,021/025,--,--,84,01,O,10,10
109,202054A,--,--,--,PP,--,--,PP,00,P,00,00
