,subject,OE,TH,OE_TH,TW,PR,OR,TOT,CRD,GRD,PTS1,PTS2
0,207003,035/050,027/050,062/100,--,--,--,62,04,A,08,32
1,207003,--,--,--,023/025,--,--,92,01,O,10,10
2,207003,020/050,009/050,029/100,--,--,--,FF,04,F,00,00
3,207003,--,--,--,019/025,--,--,76,01,A+,09,09
4,207003,033/050,011/050,044/100,--,--,--,FF,04,F,00,00
5,207003,--,--,--,022/025,--,--,88,01,O,10,10
6,207003,026/050,005/050,031/100,--,--,--,FF,04,F,00,00
7,207003,--,--,--,019/025,--,--,76,01,A+,09,09
8,207003,013/050,005/050,018/100,--,--,--,FF,04,F,00,00
9,207003,--,--,--,020/025,--,--,80,01,O,10,10
10,207003,031/050,020/050,051/100,--,--,--,51,04,B,06,24
11,207003,--,--,--,020/025,--,--,80,01,O,10,10
12,207003,022/050,009/050,031/100,--,--,--,FF,04,F,00,00
13,207003,--,--,--,015/025,--,--,60,01,A,08,08
14,207003,028/050,015/050,043/100,--,--,--,FF,04,F,00,00
15,207003,--,--,--,019/025,--,--,76,01,A+,09,09
16,207003,026/050,021/050,047/100,--,--,--,47,04,C,05,20
17,207003,--,--,--,023/025,--,--,92,01,O,10,10
18,207003,029/050,030/050,059/100,--,--,--,59,04,B+,07,28
19,207003,--,--,--,022/025,--,--,88,01,O,10,10
20,207003,030/050,015/050,045/100,--,--,--,FF,04,F,00,00
21,207003,--,--,--,018/025,--,--,72,01,A+,09,09
22,207003,028/050,001/050,029/100,--,--,--,FF,04,F,00,00
23,207003,--,--,--,020/025,--,--,80,01,O,10,10
24,207003,013/050,001/050,014/100,--,--,--,FF,04,F,00,00
25,207003,--,--,--,020/025,--,--,80,01,O,10,10
26,207003,018/050,001/050,019/100,--,--,--,FF,04,F,00,00
27,207003,--,--,--,019/025,--,--,76,01,A+,09,09
28,207003,028/050,020/050,048/100,--,--,--,48,04,C,05,20
29,207003,--,--,--,022/025,--,--,88,01,O,10,10
30,207003,037/050,030/050,067/100,--,--,--,67,04,A,08,32
31,207003,--,--,--,022/025,--,--,88,01,O,10,10
32,207003,025/050,009/050,034/100,--,--,--,FF,04,F,00,00
33,207003,--,--,--,021/025,--,--,84,01,O,10,10
34,207003,031/050,008/050,039/100,--,--,--,FF,04,F,00,00
35,207003,--,--,--,020/025,--,--,80,01,O,10,10
36,207003,027/050,029/050,056/100,--,--,--,56,04,B+,07,28
37,207003,--,--,--,021/025,--,--,84,01,O,10,10
38,207003,016/050,011/050,027/100,--,--,--,FF,04,F,00,00
39,207003,--,--,--,020/025,--,--,80,01,O,10,10
40,207003,023/050,004/050,027/100,--,--,--,FF,04,F,00,00
41,207003,--,--,--,017/025,--,--,68,01,A,08,08
42,207003,026/050,031/050,057/100,--,--,--,57,04,B+,07,28
43,207003,--,--,--,022/025,--,--,88,01,O,10,10
44,207003,036/050,023/050,059/100,--,--,--,59,04,B+,07,28
45,207003,--,--,--,023/025,--,--,92,01,O,10,10
46,207003,010/050,001/050,011/100,--,--,--,FF,04,F,00,00
47,207003,--,--,--,020/025,--,--,80,01,O,10,10
48,207003,018/050,001/050,019/100,--,--,--,FF,04,F,00,00
49,207003,--,--,--,020/025,--,--,80,01,O,10,10
50,207003,024/050,003/050,027/100,--,--,--,FF,04,F,00,00
51,207003,--,--,--,020/025,--,--,80,01,O,10,10
52,207003,017/050,000/050,017/100,--,--,--,FF,04,F,00,00
